Name,Team,Batting_Hand,Matches,Innings,Runs,Highest,Average,BF,SR,100,4,6
Abdul Samad,Sunrisers Hyderabad,Right,12,8,111,33,22.2,65,170.77,0,8,6
Glenn Maxwell,Royal Challengers Bangalore,Right,82,79,1505,95,22.13,973,154.68,0,118,91
Mandeep Singh,Punjab Kings,Right,104,91,1659,77,22.12,1335,124.27,0,170,37
Prithvi Shaw,Delhi Capitals,Right,38,38,826,99,21.74,591,139.76,0,99,27
Ben Cutting,Kolkata Knight Riders,Right,21,17,238,39,21.64,141,168.79,0,15,19
Shakib Al Hasan,Kolkata Knight Riders,Left,63,46,746,66,21.31,589,126.66,0,70,20
Mayank Agarwal,Punjab Kings,Right,88,83,1694,106,21.18,1259,134.55,1,162,67
Shimron Hetmyer,Delhi Capitals,Left,17,16,275,75,21.15,198,138.89,0,15,19
Moeen Ali,Chennai Super Kings,Left,19,17,309,66,20.6,195,158.46,0,21,23
Cheteshwar Pujara,Chennai Super Kings,Right,30,22,390,51,20.53,391,99.74,0,50,4
Riyan Parag,Rajasthan Royals,Right,19,13,246,50,20.5,203,121.18,0,23,8
Josh Philippe,Royal Challengers Bangalore,Right,5,5,78,33,19.5,77,101.3,0,9,1
Sheldon Jackson,Kolkata Knight Riders,Right,4,3,38,16,19,31,122.58,0,5,0
Axar Patel,Delhi Capitals,Left,97,72,913,44,18.26,715,127.69,0,53,43
Abhishek Sharma,Sunrisers Hyderabad,Left,14,13,143,46,17.88,98,145.92,0,10,8
Sam Billings,Delhi Capitals,Right,22,19,334,56,17.58,250,133.6,0,31,10
Mahipal Lomror,Rajasthan Royals,Left,7,6,87,47,17.4,78,111.54,0,5,3
Mitchell Marsh,Sunrisers Hyderabad,Right,21,15,225,38,17.31,197,114.21,0,9,14
Pat Cummins,Kolkata Knight Riders,Right,30,21,223,53,17.15,169,131.95,0,14,12
Daniel Christian,Royal Challengers Bangalore,Right,40,34,446,39,17.15,374,119.25,0,22,19
Sachin Baby,Royal Challengers Bangalore,Left,18,10,137,33,17.12,101,135.64,0,11,5
Washington Sundar,Royal Challengers Bangalore,Left,36,22,186,35,16.91,148,125.68,0,15,6
Shivam Dube,Rajasthan Royals,Left,15,13,169,27,16.9,138,122.46,0,6,12
Deepak Hooda,Punjab Kings,Right,68,50,625,62,16.89,483,129.4,0,32,29
Sunil Narine,Kolkata Knight Riders,Left,120,66,892,75,16.83,543,164.27,0,103,52
N Jagadeesan,Chennai Super Kings,Right,5,2,33,33,16.5,29,113.79,0,4,0
Mohammad Nabi,Sunrisers Hyderabad,Right,14,11,146,31,16.22,99,147.47,0,13,7
Karn Sharma,Chennai Super Kings,Left,68,35,317,39,15.1,274,115.69,0,18,14
Harbhajan Singh,Kolkata Knight Riders,Right,160,88,829,64,15.07,600,138.17,0,79,42
Jofra Archer,Rajasthan Royals,Right,35,23,195,27,15,124,157.26,0,11,14
Jason Holder,Sunrisers Hyderabad,Right,18,9,104,26,14.86,84,123.81,0,9,5
Priyam Garg,Sunrisers Hyderabad,Right,14,10,133,51,14.78,111,119.82,0,9,4
Shreevats Goswami,Sunrisers Hyderabad,Left,31,21,293,52,14.65,295,99.32,0,32,3
Navdeep Saini,Royal Challengers Bangalore,Right,26,5,29,12,14.5,31,93.55,0,3,0
Krishnappa Gowtham,Chennai Super Kings,Right,24,19,186,33,14.31,110,169.09,0,13,12
Aditya Tare,Mumbai Indians,Right,35,28,339,59,14.12,273,124.18,0,40,11
Pawan Negi,Kolkata Knight Riders,Left,50,35,365,36,14.04,289,126.3,0,27,16
Jasprit Bumrah,Mumbai Indians,Right,92,13,40,16,13.33,41,97.56,0,2,1
Yashasvi Jaiswal,Rajasthan Royals,Left,3,3,40,34,13.33,44,90.91,0,2,2
Shreyas Gopal,Rajasthan Royals,Right,45,19,164,24,12.62,157,104.46,0,17,1
Kagiso Rabada,Delhi Capitals,Left,35,15,125,44,12.5,128,97.66,0,9,4
James Neesham,Mumbai Indians,Left,9,6,61,22,12.2,64,95.31,0,3,2
Kane Richardson,Royal Challengers Bangalore,Right,14,4,36,26,12,39,92.31,0,2,1
Piyush Chawla,Mumbai Indians,Left,164,81,584,24,11.92,524,111.45,0,54,18
Amit Mishra,Delhi Capitals,Right,150,56,362,31,11.68,389,93.06,0,29,5
Dhawal Kulkarni,Mumbai Indians,Right,91,22,104,28,11.56,108,96.3,0,7,2
Mohammed Siraj,Royal Challengers Bangalore,Right,35,11,46,14,11.5,50,92,0,4,1
Deepak Chahar,Chennai Super Kings,Right,48,10,78,39,11.14,56,139.29,0,2,6
Rinku Singh,Kolkata Knight Riders,Left,10,8,77,30,11,76,101.32,0,6,2
Ravichandran Ashwin,Delhi Capitals,Right,154,58,412,45,10.84,373,110.46,0,35,11
Chris Woakes,Delhi Capitals,Right,18,11,63,18,10.5,66,95.45,0,5,2
